Title,Author,Price,Original Price,Rating,Reviews,Image,Link
Computer Science with Pyt ..., ,₹931,,,,https://www.bookswagon.com/BW/productimages/mainimages/notavailable.gif,https://www.bookswagon.com/book/computer-science-python/9789348457738
Computer Science with Pyt ...,Sumita Arora,₹798,,4.8,(8),https://www.bookswagon.com/BW/productimages/mainimages/362/9788177002362.jpg,https://www.bookswagon.com/book/computer-science-python-textbook-practical/9788177002362
"Python Crash Course, 3rd ...",Eric Matthes,"₹3,360","₹4,800",4.8,(8),https://www.bookswagon.com/BW/productimages/mainimages/703/9781718502703.jpg,https://www.bookswagon.com/book/python-crash-course-3rd-edition/9781718502703
Python Essentials You Alw ...,Vibrant Publishers,"₹4,053","₹4,825",,,https://www.bookswagon.com/BW/productimages/mainimages/938/9781636512938.jpg,https://www.bookswagon.com/book/python-essentials-you-always-wanted/9781636512938
Data Structures and Algor ...,M. T. Goodrich,₹692,₹975,4.4,(10),https://www.bookswagon.com/BW/productimages/mainimages/866/9789354247866.jpg,https://www.bookswagon.com/book/data-structures-algorithms-in-python/9789354247866
"Python Programming, 3e", ,₹526,₹675,,,https://www.bookswagon.com/BW/productimages/mainimages/654/9789367257654.jpg,https://www.bookswagon.com/book/python-programming-3e/9789367257654
Machine Learning using Py ..., ,₹674,₹899,,,https://www.bookswagon.com/BW/productimages/mainimages/notavailable.gif,https://www.bookswagon.com/book/machine-learning-using-python-second/9789370609167
Python,Martin C. Brown,₹725,₹895,4.0,(7),https://www.bookswagon.com/BW/productimages/mainimages/942/9789387572942.jpg,https://www.bookswagon.com/book/python-martin-c-brown/9789387572942
Python All-in-One for Dum ...,John Shovic,₹683,"₹1,019",4.4,(7),https://www.bookswagon.com/BW/productimages/mainimages/216/9789388991216.jpg,https://www.bookswagon.com/book/python-all-in-one-dummies/9789388991216
Data Structure and Algori ...,Narasimha Karumanchi,"₹4,645",,3.7,(6),https://www.bookswagon.com/BW/productimages/mainimages/592/9788192107592.jpg,https://www.bookswagon.com/book/data-structure-algorithmic-thinking-python/9788192107592
Python Algorithms,Magnus Lie Hetland,"₹8,701","₹11,449",4.3,(3),https://www.bookswagon.com/BW/productimages/mainimages/568/9781484200568.jpg,https://www.bookswagon.com/book/python-algorithms-magnus-lie-hetland/9781484200568
Computer Coding Python Pr ...,Carol Vorderman,₹699,₹999,4.8,(6),https://www.bookswagon.com/BW/productimages/mainimages/869/9780241286869.jpg,https://www.bookswagon.com/book/computer-coding-python-projects-kids/9780241286869
Intro To Python For Compu ...,NA,₹749,₹960,4.6,(8),https://www.bookswagon.com/BW/productimages/mainimages/518/9789353949518.jpg,https://www.bookswagon.com/book/intro-python-computer-science-learning/9789353949518
Deep Learning with Python,Francois Chollet,"₹3,649","₹5,139",4.0,(10),https://www.bookswagon.com/BW/productimages/mainimages/433/9781617294433.jpg,https://www.bookswagon.com/book/deep-learning-python-francois-fran%C3%A7ois/9781617294433
Arihant All in One Inform ...,Lalita Kaler,"₹7,376","₹8,781",,,https://www.bookswagon.com/BW/productimages/mainimages/518/9789368406518.jpg,https://www.bookswagon.com/book/arihant-all-in-one-informatics/9789368406518
Icse Exploring Robotics a ...,Vijay Kumar Pandey,₹736,,,,https://www.bookswagon.com/BW/productimages/mainimages/notavailable.gif,https://www.bookswagon.com/book/icse-exploring-robotics-artificial-intelligence/9789363339255
Ultimate Python Programmi ...,Deepali Srivastava,₹810,,,,https://www.bookswagon.com/BW/productimages/mainimages/558/9789355516558.jpg,https://www.bookswagon.com/book/ultimate-python-programming-deepali-srivastava/9789355516558
Let Us Python: Python Is ...,Yashavant Kanetkar,₹470,,,,https://www.bookswagon.com/BW/productimages/mainimages/notavailable.gif,https://www.bookswagon.com/book/let-us-python-yashavant-kanetkar/9789365891034
Machine Learning In Data ...,NA,₹749,₹999,,,https://www.bookswagon.com/BW/productimages/mainimages/463/9789391540463.jpg,https://www.bookswagon.com/book/machine-learning-in-data-science/9789391540463
The Python Champions of C ...,Paarth Arya,₹366,₹495,4.4,(10),https://www.bookswagon.com/BW/productimages/mainimages/773/9788183285773.jpg,https://www.bookswagon.com/book/python-champions-coding-paarth-arya/9788183285773
